Parameter;Value
Crystal System;hexagonal
Space Group;P 6/m c c (# 192)
Unit cell lengths;a = 13.8270 Å, b = 13.8270 Å, c = 8.5800 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;1420.6 cubic Å
Framework density;16.9 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;8.3 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.22 Å, b: 2.22 Å, c: 7.42 Å
Accessible volume:;14.07 %
